Att,Disp,Min_BER,MAX_Q_FACTOR
0.39,14.15,0.000002,0.4654232
0.39,14.35,0.000003,0.4489636
0.39,14.55,0.000001,0.4717708
0.39,14.75,0.000001,0.470982
0.39,14.95,0.000016,0.4154934
0.39,15.15,0.000008,0.4310763
0.39,15.35,1,0
0.39,15.55,1,0
0.39,15.75,1,0
0.39,15.95,1,0
0.39,16.15,1,0
0.39,16.35,1,0
0.39,16.55,1,0
0.39,16.75,1,0
0.39,16.95,1,0
0.39,17.15,1,0
0.39,17.35,1,0
0.39,17.55,1,0
0.39,17.65,1,0
0.4,12.75,0,0.5082549
0.4,12.75,1,0
0.4,12.95,0.000003,0.4499709
0.4,12.95,1,0
0.4,13.15,0.000001,0.4684452
0.4,13.15,1,0
0.4,13.35,0.000007,0.4335779
0.4,13.35,1,0
0.4,13.55,0.000001,0.4826654
0.4,13.55,1,0
0.4,13.75,0.000001,0.4723774
0.4,13.75,1,0
0.4,13.95,0.000009,0.4283466
0.4,13.95,1,0
0.4,14.15,0.000005,0.4431182
0.4,14.15,1,0
